mod0,vgsr
30.58,594
32.86,2824
33.56,6712
33.57,2692
31.15,1002
33.07,2682
33.3,4626
33.99,5505
31.51,1344
33.12,2367
34.71,5896
35.05,4676
33.93,3920
34,4861
32.5,1799
31.48,1989
33.82,4405
33.55,3146
29.86,385
31.1,1489
32.2,1110
31.36,1040
34.43,6476
33.44,2714
29.54,1970
33.11,2669
32.45,1946
33.17,1586
33,2357
34.8,5940
32.95,2796
33.84,1972
34.14,5439
34.98,6400
32.76,6241
33.26,3580
32.57,2510
34.04,4489
33.54,6297
34.37,3863
32.98,3189
34.35,5340
30.96,700
33.9,5076
32.13,1041
34.46,4925
35.15,7800
32.34,2113
32.43,2178
32.98,2208
33.2,3975
33.48,4561
33.11,2010
33.78,3503
35.17,7447
30.43,2146
32.62,1802
33.62,2110
31.77,2502
31.34,808
33.22,3016
33.1,2628
33.24,1832
32.67,1250
32.82,1992
30.11,734
32.06,1259
32.06,1624
25.79,168
33.33,2705
28,171
31.81,1047
33.21,2028
33,1992
32.58,2170
30.95,1854
31.66,1474
32.25,1552
33.01,2473
31.2,1288
34.9,6296
33.12,2492
32.31,2155
32.44,1958
32.32,2371
32.05,1235
31.78,1990
31.9,-208
31.05,941
31.69,791
32.87,2868
31.94,2647
31.29,704
31.82,1673
31.72,758
32.2,1288
31,387
29.27,816
28.72,256
31.83,767
31.07,1813
33.67,2613
29,66
35.35,7540
30.82,882
31.95,1809
35.08,6587
32.84,2548
28.37,129
35.83,8972
33.45,2988
32.39,2409
32.42,1411
29.15,435
31.54,1006
32.37,1545
31.99,2031
31.01,2309
35.97,9130
31.2,2242
32.21,2245
32.07,1923
35.07,6362
31.75,1241
33.33,3277
32.25,2038
32.76,2016
33.73,2682
33.77,4480
35.46,8956
33.23,2254
32.6,2221
34.24,4830
32.35,1855
32.12,1975
35.72,9511
32.09,2055
33.42,3109
32.57,1261
33.29,3070
35.18,6821
35.53,9327
31.52,1356
32.61,2893
28.99,238
33.25,3506
33.78,4363
33.15,4212
31.68,2096
34.47,4771
34.03,4689
35.37,8275
34.17,5962
33.21,2791
31.9,2634
34.48,4863
32.84,3969
31.05,1046
32.87,3940
33.06,3791
33.95,3430
32.51,2952
35.23,7300
33.31,3327
33.7,5049
33.98,4895
34.13,4763
33.71,4412
34.24,4424
33.7,4326
34.82,5509
33.76,4991
34.41,5360
35.6,8144
33.05,6294
33.57,4743
31.48,1487
31.44,1173
33.8,4732
35.3,9478
31.4,1213
31.36,1083
35.17,6885
34.62,4799
32.08,2177
34.34,5664
32.37,1200
31.87,2184
31.13,1803
35.34,9131
35.52,9234
24.49,-180
24.8,-439
36.14,10486
34.22,4930
27.97,278
34.03,4840
30.25,750
28.42,402
31.36,1448
29.92,478
29.87,467
31.49,1179
32.78,1561
30.73,1124
30.65,1036
30.86,824
31.44,1063
31.24,682
30.86,1204
30.57,934
30.4,1874
31.18,1114
31.02,1272
30.17,929
34.95,7182
34.44,4878
30.8,821
32.11,2512
29.48,244
32.42,2640
31.63,1305
32.95,1889
33.04,1641
32.34,1859
31.91,1459
30.33,978
33.35,2898
32.7,2582
32.45,2352
31.05,1169
30.76,836
32.41,1478
32.56,2473
30.3,1148
32.48,2156
34.15,4639
36.47,8711
34.13,4189
34.43,7756
30.96,220
35.49,6915
35.46,8128
35.08,6960
33.93,4216
35.46,8412
34.8,4272
39.83,43318
40.11,78916
40.06,80998
39.66,61811
17.01,-195
17.34,-258
29.79,500
32.56,1622
33.47,2725
31.93,2049
32.89,2680
33.71,4477
32.43,2710
32.47,2056
31.64,1633
34.3,3195
33.22,3552
33.9,2878
33.81,3676
33.71,3261
33.84,3531
32.81,2820
33.53,3030
32.22,2017
31.46,855
31.84,1787
32,1807
30.56,1192
31.34,1004
30.82,1163
30.33,737
32.76,2056
32.62,2700
32.32,2319
32.33,1508
31.27,961
32.73,2093
32.58,2521
32.66,3187
33.3,5028
31.51,2016
31.67,1398
33.8,4381
32.72,1961
34.13,3763
30.27,733
33.23,1976
31.95,1716
32.59,2983
33.28,2797
31.41,1526
33.21,2690
31.13,1007
30.78,1158
32.88,2892
35.13,8293
32.55,1908
31.35,1064
31.71,1504
32.9,3198
34.47,5776
31.83,3170
32.92,2839
31.08,962
32.97,3046
33.14,2925
33.78,4939
32.47,2677
32.32,3156
32.59,2551
32.78,2970
31.8,1828
31.78,1866
31.48,1608
32.76,2884
33.35,3427
32.19,1568
32.56,1928
33.94,4846
31.17,1287
30.83,1193
30.99,1479
32.25,2699
32.63,2614
32.45,3007
33.65,4358
31.4,1023
29.6,928
32.46,2411
31,1859
33.16,2709
29.93,703
30.47,971
30.86,1046
37.25,25977
37.59,22950
31.86,1803
35.26,8193
37.57,28268
33.97,4649
35.65,8528
33.97,3863
34.52,5284
35.15,6031
34.89,4144
34.2,4550
35.18,5889
35.52,8118
35.27,7484
32.28,1852
32.79,2318
32.59,1196
35.33,7367
35.77,9255
31.36,2818
35.15,6839
37.78,20203
36.52,12460
35.19,6685
32.76,2910
32.79,2020
31.84,1831
35.9,9371
32.54,1786
35.67,9405
31.92,2280
29.88,2177
31.11,909
35.79,7785
30.98,1656
34.95,6830
32.74,2778
30.96,1537
33.27,2421
36.41,13621
34.89,7309
33.35,7788
35.43,6132
34.36,6567
35.91,8352
35.17,7255
33.68,7157
33.05,7450
34.33,8182
32.92,6144
33.91,6425
35.02,7318
34.27,7194
35.04,5464
35.11,7160
35.69,6929
34.85,7033
34.98,7021
33.1,6952
35.04,6023
36.08,7046
35.19,6418
34.96,7681
35.21,5751
34.7,6840
35.1,9477
34.29,6073
37.74,20314
35.66,6802
34.98,7600
35.23,6268
35.6,6831
34.86,6984
35.18,8022
35.51,6914
33.99,6919
33.93,8403
35.24,7580
35.24,7721
34.61,6586
34.91,7252
34.59,7520
34.92,5748
34.45,5900
34.57,8190
34.83,7792
34.67,5971
34.05,8210
33.88,5477
34.09,6613
35.24,8126
33.94,6915
33.53,7566
35.29,7619
35,5478
34.01,8244
34.99,7292
34.71,5752
34.85,8665
35.19,5983
34.52,7621
33.55,7430
35.43,6241
34.24,8224
35.16,8386
36.03,10126
34.4,6068
35.89,10295
32.21,1714
35.09,7180
32.25,2333
33.36,2617
33.51,2204
31.15,2018
32.42,2771
34.02,3734
33.71,2462
35.98,10963
32.63,2427
35.85,10112
34.72,14906
32.29,2636
32.34,2814
38.27,28568
35.76,10011
35.81,9159
35.3,8074
36.54,14970
34.26,6036
36.19,15072
32.94,1823
33.45,2176
36.43,18910
36.65,20081
35,9761
36.88,17485
32.59,1573
31.33,1605
35.4,6161
35.67,13749
36.6,19672
34.01,5866
32.05,2149
33.19,2802
31.06,542
34.39,5459
31.12,1198
31.14,1615
30.98,914
31.15,1371
36.38,13281
31.54,1597
37.52,23603
36.95,22941
34.16,2702
36.49,13497
37.77,31378
37.11,27136
37.54,32351
35.51,8980
35.9,10914
35.63,8478
35.07,9386
30.23,405
28.66,253
34.35,4478
26.42,95
28.34,230
26.12,142
28.29,239
27.64,207
24.46,-169
24.57,-96
27.03,63
36.58,12712
28.89,275
24.45,-24
24.39,-223
27.86,-24
38.58,48464
37.85,35904
40.06,93153
38.03,35410
39.94,77826
39.21,59325
37.28,26117
37.43,28074
36.1,13036
37.83,26265
35.73,11584
34.18,3439
37.92,25157
37.2,18904
29.87,426
38.14,39239
38.79,52370
37.03,17269
37.6,21706
29.6,652
41.39,142369
43.11,237250
24.35,-68
28.76,440
38.99,56131
31.12,1456
40.25,89756
28,79
27.87,-34
17.1,169
24.43,-33
21.65,69
18.1,-116
19.1,109
19.95,-7
17.5,-33
18.11,35
18.15,82
21,-95
20.8,145
20.96,10
18.35,240
21.25,59
17.73,42
37.21,10931
25.59,-135
24.83,68
24.05,8
24.37,-326
24.33,-297
24.62,-393
24.62,-24
23.71,-211
27.68,76
21.3,-75
16.13,36
28.18,324
24.36,-85
24.5,81
24.6,-355
24.61,-164
24.66,3
29.62,467
24.17,48
36.15,10374
38.42,30279
36.55,11841
35.25,7373
35.81,10561
37.56,19125
34.26,60030
24.4,16
24.45,-181
24.75,-19
24.49,-216
30.87,1122
31.28,-37
35.63,9474
38.58,81556
40.42,89440
39.81,79026
39.58,65231
38.55,42955
39.84,64061
38.92,54113
40.13,87228
38.69,49673
39.3,63923
39.56,75045
39.54,69446
40.12,83278
40.67,109014
38.59,48671
41.13,123355
38.04,36447
38.63,46951
39.09,56020
40.06,84068
40.2,88561
40.48,93424
40.19,92802
39.02,54174
39.27,61485
39.26,63828
40.44,108278
39.96,81816
38.99,55924
41.19,117348
39.37,64591
37.84,35328
40.85,126695
40.88,113461
40.01,71944
41.5,116190
41.96,170745
41.06,146754
41.41,148358
42.44,196580
41.55,134948
41.07,128874
40.6,128729
41.78,170774
41.7,128832
40.53,95792
42.48,173438
41.12,134771
41.34,174032
41.72,124570
42.83,248790
41.34,132090
41.65,150008
43.21,257733
41.71,161796
42.88,233694
42.59,173785
43.78,228652
41.23,158800
38.58,53873
43.65,164744
39.49,53819
42.48,110781
41.25,140756
41.05,131763
42.26,194719
40.62,107779
41.29,131762
41.61,149751
42.45,191723
41.47,128870
42.05,191827
42.53,224806
38.5,44816
38.08,37009
38.25,35834
38.72,54695
41.61,137921
42.92,278827
41.34,140863
39.85,84063
43.56,278908
41.8,165464
42.26,201140
41.66,153168
38.19,38605
31.84,974
38.18,38895
37.26,27068
40.33,87010
39.31,57304
38.41,47939
37.93,32611
37.98,37311
39.05,48017
39.93,77544
38.46,30132
39.8,75089
40.34,90314
40.58,104990
39.65,66191
39.77,77563
39.41,72090
38.34,41116
40.77,89984
38.88,17982
40.28,111529
38.1,44866
37.99,37921
38.76,52287
37.94,33172
37.97,35336
40.19,112128
40.48,127454
40.57,106048
37.62,22407
41.23,125957
42.98,245191
20.64,130
21.63,-63
17.45,-91
22.82,-67
19.6,-27
20.4,-186
18.8,-205
15.52,-55
31.77,1500
32.25,1626
32.11,1716
20.16,41
33.72,3988
31.71,1615
30.7,1506
30.82,1433
32.41,1484
31.8,1499
31.99,2281
31.18,526
31.1,819
20.35,-74
13.58,213
24.53,-155
17.11,171
30.04,835
33.78,2393
31.78,681
30.97,655
31,752
31.02,1324
30.91,901
29.53,914
30.89,58
31.04,1567
30.93,232
31.03,1917
31.11,1514
32.17,1899
31.62,1080
31.03,1669
32.02,2257
31.34,1219
31.33,1472
31.31,1216
32.04,1687
32.3,1454
31.63,1226
31.51,1682
32.12,1812
31.48,948
26.86,242
32.02,2492
32.54,2396
32.87,3275
31.79,2611
32.28,2794
30.55,2628
32.81,3268
33.69,3051
32.24,3011
32.49,1705
32.86,3227
33.25,2826
31.87,2784
32.27,1903
33.57,1786
27.65,227
35.91,8469
31.19,670
31.29,780
30.35,1297
31.17,1726
32.59,1020
31.49,1414
36.43,13365
24,-200
35.29,7103
35.24,6045
36.57,13302
33.45,3060
31.6,1477
34.32,4441
31.57,1502
32.17,1428
33.44,3789
33.74,5334
30.68,1354
33.4,5372
26.45,69
29.17,374
32.54,2933
31.25,1539
29.93,1560
34.94,6135
32.15,1587
31.44,1598
30.3,1555
32.06,1585
29.27,416
34.6,6694
36.12,11317
27.62,248
27.79,245
31.43,1787
31.59,1608
33.09,4950
32.18,1810
35.37,3746
32.83,2934
33.11,1968
19.63,76
32.83,2893
34.34,5655
32.43,1927
34.59,5725
34.46,5009
34.53,5512
34.82,6018
34.62,5235
34.61,5639
33.29,2001
32.01,2043
32.99,2694
31.68,1584
34.04,5340
31.75,2964
34.4,5074
32.16,1447
35.75,11496
33.23,2155
37.08,17780
32.79,1665
34.16,5039
33.74,5737
34.34,5338
31.49,1636
36.7,13801
31.44,1408
34.72,5348
36.1,9163
31.51,1935
31.42,2011
28.17,158
30.72,1580
35.94,15868
33.28,3447
34.71,6174
36.01,11127
34.44,5042
31.88,1556
31.55,1576
32.36,2301
32.74,2295
33.1,4065
31.28,4791
26.63,157
33.87,5330
32.59,2097
31.22,1457
35.21,8143
33.97,4757
30.94,1491
35.98,4628
32.65,1376
36.23,10380
34.42,6465
33.27,3646
34.43,4990
28.83,434
31.22,1532
28.91,498
31.93,2360
33.06,3897
32.81,2706
35.52,8928
32.8,2592
31.71,1485
31.39,1320
31.44,1646
31.87,2178
33.71,3954
31.33,1261
34.76,5960
32.88,2810
35.47,8645
33.76,3078
32.12,2534
33.12,1949
30.85,928
31.21,1014
31.5,1250
31.71,997
31.44,1649
31.65,1688
32.59,2286
31.49,1456
34.2,5934
31.34,1712
32.26,1507
28.72,425
31.69,1659
32.21,1941
31.5,1298
31.02,1713
32.14,1807
31.14,912
31.45,1214
31.78,2233
31.44,1235
31.41,1696
31.45,1166
31.54,1541
26.69,330
28.95,491
31.79,1722
31.51,1257
31.6,1194
29.31,595
31.32,1753
31.56,1103
31.43,1571
31.41,1138
31.61,798
31.59,1260
31.48,695
31.55,1041
31.46,868
31.47,1176
34.74,6002
31.55,1513
31.04,1535
36.97,17532
31.65,977
31.77,1678
31.44,1850
30.06,1374
31.47,1212
29.62,1157
31.48,1362
34.65,5495
30.5,1314
28.82,302
30.9,1128
32.96,2388
34.1,2646
34.35,4660
32.02,1271
31.71,1788
32.5,2862
32.96,1781
33.71,3840
32.19,1853
35.24,8822
31.13,817
33.15,3777
33.91,4372
30.26,786
33.64,5527
34.07,4595
34.05,5462
33.33,4032
33.82,4592
30.35,1483
33.53,4029
31.87,1489
33.73,3855
33.16,2429
34.21,4698
33.91,4580
34.19,4694
31.47,1784
30.3,1042
31.25,1328
34.22,4857
30.05,899
34.11,4513
31.09,1012
33.49,3754
33.54,3844
30.67,1015
32.81,1624
34.05,4453
33.63,4116
32.22,2199
30.36,1055
34.38,4356
32.44,2244
34.87,4644
32.9,1828
32.42,2556
32.19,1851
32.26,1217
32,891
31.54,1304
33.99,4285
31.42,1071
31.18,1108
32.53,2648
31,2346
33.04,2359
29.27,440
32.42,2430
30.84,1141
34.22,4344
34.1,5206
33.36,2711
34.32,5767
30.53,1150
30.82,1081
31.09,1563
34.15,2813
29.05,286
33.44,4500
36.64,14796
33.26,3171
33,2210
34.73,5266
34.27,5854
33.66,4233
32.15,1701
33.91,4905
32.34,1208
32.86,2066
34.04,4386
33.82,3024
34.19,5316
31.22,1390
32.11,1904
34.05,4185
28.92,372
32.09,1519
33.24,4366
34.36,5416
32.04,2675
30.52,587
33.35,2781
32.42,4372
35.11,6866
29,304
35.38,6929
32.39,2656
35.08,7500
33.36,3713
34.71,5835
30.55,578
32.16,2552
31.56,2186
32.27,2401
20.16,13
33.35,3834
30.2,608
33.25,2591
29.97,662
31.59,2188
31.9,1514
31.14,1841
31.9,1196
33.88,4008
32.44,2096
32.67,1857
35.77,7881
30.58,2078
33.14,2383
34.37,6330
32.02,1632
32.68,3426
28.61,345
32.29,2179
32.44,1554
33.45,2672
34.15,4864
33.61,4314
32.1,2235
34.94,6317
32.19,1261
31.75,1868
32.83,3176
32.69,1870
32.69,2180
34.07,2541
35.1,6126
32.27,2569
33.48,2332
31.08,1456
34.78,5032
33.03,2444
30.8,1226
32.44,2046
33.82,2321
32.73,1903
30.64,796
27.53,314
30.07,745
31.85,1069
33.85,2601
32.87,1979
32.9,2634
34.04,4163
34.58,5245
33.29,3110
29.83,488
33.56,3041
34.45,4773
32.05,1350
34.96,5231
33.14,3318
30.5,890
32.25,726
34.18,4982
32.82,1376
29.06,750
31.39,1676
35.63,9458
32.6,1436
31.01,1340
31.86,2390
32.16,2028
33.74,4066
33.57,2538
31.24,1252
33.92,4526
31.91,2247
34.93,5209
34.46,6371
32.57,2414
32.9,2612
34.83,4524
32.5,2581
34.44,5715
31.86,1445
31.41,1464
31.13,732
32.76,2631
29.67,593
35.64,8322
33.02,3199
32.64,2269
32.15,2141
32.93,1800
34.87,6061
35.77,9068
32.84,1784
34.18,5126
32.66,2593
33.14,1953
33.05,1544
34.53,3346
29.98,2605
34.18,3585
34.43,3214
34.12,4583
34.47,5040
33.21,2490
32.46,1657
32.66,2219
32.38,2205
32.73,2554
33.53,2699
32.77,1903
33.56,2490
34.82,4965
32.58,2158
33.3,2220
33.59,2240
34.01,3258
32.75,2201
33.48,2400
31.18,638
29.14,788
32.86,1925
31.98,1442
33.13,2726
22.89,-47
31.68,1562
31.84,2119
32.8,2285
31.84,2340
34.1,4168
29.36,404
35.13,7305
32.24,2199
31.01,1776
32.86,2586
33.52,2522
33.49,2426
30.09,502
33.55,2965
30.88,779
33.17,2942
33.73,2249
32.4,1681
33.17,2514
32.77,1874
32.97,2566
33.11,2341
27.95,66
27.93,160
32.39,2200
32.07,2200
27.91,189
33.76,4024
32.15,1419
27.83,161
31.14,744
25.56,150
31.18,870
27.81,-29
31.16,1670
29.1,550
34.47,7088
32.86,3364
32.24,1307
33.29,1984
31.96,1183
31.09,893
27.85,277
32.87,2286
32.92,2401
32.41,2705
31.4,2519
31.91,1151
32.2,2459
33.29,3676
33.02,2802
33.07,2534
33.46,2200
27.71,160
34.51,5500
35.85,9597
33.12,2373
32.66,2988
32.57,2489
32.58,2346
32.2,2445
33.46,3308
31.45,2271
32.06,3465
30.9,745
34.14,2546
29.44,3174
32.42,2428
33.23,4222
33.08,2750
32.05,693
33.11,2666
29.23,842
33.75,2695
33.02,3356
33.89,3349
33.02,3470
32.9,2648
32.96,1934
34.08,4160
34.03,3159
34.12,4180
31.29,4208
32.19,889
32.99,3540
31.83,2442
33.53,4238
33.09,2548
32.87,999
32.15,2787
29.2,454
34.28,4323
32.74,2720
34.24,3688
29.2,501
30.31,831
31.05,614
32.98,2317
32.13,1867
34.36,4547
28.03,230
33.28,3072
32.05,1558
31.57,1026
34.53,5255
32.52,862
31.23,1173
29.45,1008
33.16,2946
32.53,2261
29.8,852
32.09,1302
31.31,1192
32.75,2557
31.97,2037
33.28,2812
31.55,904
31.88,2410
34.82,6167
31.57,1412
32.01,1158
34.93,2682
31.68,1425
31.86,1998
34.33,4865
32.09,1691
31.39,1751
32.87,2487
32.03,2054
32.88,2818
32.68,1579
34.19,3900
34.77,6817
28.89,454
34.61,6715
31.72,1893
34.53,5928
32.57,1828
31.8,1573
34.07,6979
31.3,1049
35.07,5625
31.67,873
33.42,2597
30.59,938
33.43,6604
35.31,5919
31.72,1490
28.67,454
31.59,1438
31.93,1555
32.39,2804
32.17,1720
31.01,1625
31.07,924
30.12,956
30.43,750
31.59,1620
31.22,1637
29.82,2022
31.28,1699
32.67,1966
30.02,1578
31.12,1674
31.88,2080
31.14,1293
33.07,2673
31.93,1546
31.79,2042
31.94,1855
32.31,1962
32.37,2002
32.28,1508
28.43,358
32.87,1993
31.76,1961
33.76,2471
33.4,1989
31.27,205
30.36,-70
27.59,425
32.57,1146
31.31,2508
32.07,2994
32.27,2763
31.6,1797
32.12,761
31.02,1926
29.31,328
30.97,1964
31.01,1024
32.99,3239
31.22,2584
32.84,2754
31.84,3366
32.3,2872
28.37,322
32.59,3220
28.34,334
29.64,456
32.43,1645
31.22,885
31.39,1185
35.29,7526
30.22,1347
30.88,875
33.26,9128
32.11,574
31.96,1354
32.93,2783
32.46,3001
33.37,3172
33.35,2364
32.65,2437
32.81,2412
34.95,6952
35.06,10820
32.96,4429
32.36,2434
33.18,3135
28.68,452
35.94,9699
31.13,1374
34.51,4875
27.39,368
32.91,2327
32.42,1809
32.76,2464
33.01,2680
32.3,2142
34.3,3751
29.39,1198
29.09,1294
33.51,2961
32.16,1781
32.67,2705
34.03,4010
32.82,2705
33.16,4496
32.4,2280
31.85,2120
32.56,1883
32.08,2150
33.08,2449
33.28,2741
32.67,4143
32.58,3026
33.17,3080
32.58,2889
34.11,4529
28.86,493
32.39,2358
30.29,918
34.15,7515
31.41,1198
30.18,964
35.77,6649
31.85,1165
35.02,7461
34.94,7322
31.69,1378
34.81,6065
34.65,7243
35.24,7140
34.91,6819
35.7,8396
31.34,1508
36.2,7823
35.23,7043
33.78,6496
33.81,8013
34.68,6932
29.31,699
34.73,9434
34.65,8105
33.34,2661
33.64,3102
35.08,6192
34.88,7283
34.98,6152
35.09,7018
31.91,2409
34.85,7659
35.09,7514
34.39,7933
35.23,8437
34.6,8581
33.37,2445
35.38,10902
34.42,7654
35.25,7658
32.66,2911
34.85,5817
35.57,7564
28.8,627
30.88,1195
34.95,7592
33.22,7776
27.49,568
30.58,2420
32.82,3009
33.69,5522
30.01,1234
31.96,2246
32.16,2848
32.19,2476
32.52,1517
31.65,1588
30.43,2958
33.8,3040
31.16,1284
32.21,2456
32.99,2826
33.21,2933
34.48,2756
27.87,227
30.42,1111
32.39,2834
34.2,7289
34.12,2634
32.51,3003
34.48,6132
27.87,480
27.87,615
31.53,2227
28.13,242
36.08,7136
31.42,2251
30.66,1259
34.51,4278
31.95,1777
32.75,2745
31.38,1715
31.63,1825
28.56,550
31.14,1318
32.28,1601
30.39,1497
31.48,2698
30.69,1304
32.66,1999
32.33,1963
32.88,2782
34.31,5500
31.42,1004
32.66,2805
27.98,575
34.53,6746
35.44,9352
35.17,7429
37.11,14562
28.39,346
33.62,1300
35.44,9813
31.22,1283
32.93,2325
28.57,282
32.61,1760
30.77,1288
34.61,3766
33.11,2801
31.63,2246
33.54,3465
34.15,4122
31.8,2271
27.53,418
29.21,668
28.27,330
28.67,441
32.03,2382
32.5,2384
32.26,2232
32.6,2515
27.47,276
28.19,451
32.66,2127
28.24,349
33.08,2499
31.6,1598
32.86,1924
32.4,2422
27.52,191
34.01,3650
32.8,2692
30.74,939
35.7,8562
30.73,1258
34.96,7134
32.85,3417
32.53,2612
28.26,373
29.69,465
31.75,2256
32.41,2555
34.39,4162
32.67,2757
32.55,2179
32.51,1919
33.67,3761
32.63,2213
34.48,4284
33.4,2793
32.06,2355
32.13,2575
34.05,3897
32.09,4882
33.39,2504
31.54,1736
29.74,454
31.52,1981
30.7,713
30.96,1278
31.1,1278
31.42,1476
31.17,1512
32.68,2702
33.37,2679
36.18,11190
30.79,1665
35.21,9138
27.79,255
32.92,2981
34.63,4359
32.84,3000
33.22,3639
32.12,2937
32.85,2722
30.87,1371
34.1,2305
31.68,1682
28.82,355
32.41,2816
33.13,2324
32.63,2666
32.33,2740
32.2,2636
32.44,1848
35.54,7177
31.69,2159
33.17,2861
32.66,2527
31.92,2094
32.83,1998
35.19,12575
32.33,2888
33.16,2294
33.19,2541
30.9,1940
31.37,1488
28.21,926
32.02,2867
31.82,2806
35.74,10072
33.01,2887
30.16,724
29,462
32.99,2414
31.59,1840
33.38,2894
19.29,-92
32.05,2222
32.25,1961
27.23,407
31.53,1323
35.81,11336
32.33,2243
38.89,18239
32.61,1932
34.28,3636
34.14,4388
32.65,2141
34.39,5694
36.21,11091
32.47,2022
35.82,9716
35.65,7377
36.37,10358
34.58,4635
33.53,4385
35.65,9493
32.83,2412
33.19,4839
33.64,3283
35.83,7606
31.89,1527
28.84,484
34.64,5075
36.2,12384
35.76,8275
31.64,1620
35.41,9001
33.1,2223
33.05,2680
35.05,8275
32.47,1285
30.04,1433
35.27,8216
31.96,2761
32.56,2907
33.07,4913
35.53,6968
35.42,8883
36.24,1992
31.07,1949
33.26,3195
33.61,3284
32.22,1875
34.23,5048
34.27,5050
32.1,2721
32.05,2028
32.28,2657
34.03,4825
32.19,1932
31.79,2357
31.84,2281
32.48,3032
34,4495
32.46,2689
30.55,3146
33.7,5454
34.02,4916
31.68,3478
34.33,5434
35.38,9937
33.79,5182
33.08,2566
35.23,5655
34.3,4675
35.01,4773
34.96,6777
33.83,4025
34.13,4887
33.9,4387
33.43,3945
34.34,5862
32.19,3090
33.15,3300
32.71,3116
34.06,4432
31.55,1764
32.88,4114
31.99,2638
33.97,5584
33.56,2790
32.86,2410
33.58,4654
34.61,6147
33.38,3347
34.47,6094
29.65,1628
34.59,5852
34.44,5686
31.32,1826
34.44,5986
34.07,4987
34.17,5684
36.33,12078
33.78,4210
30.35,3475
34.89,5698
32.39,2660
32.29,2594
34.33,5560
32.45,2704
32.98,2627
34.4,5778
31.2,3179
34.32,4959
34.08,5027
32.33,2786
34.42,4709
32.5,2210
33.85,5731
33.7,5536
32.55,2876
34.75,5511
31.4,2415
32.35,2984
31.63,2664
33.64,4175
33.89,5423
33.97,4635
33.2,4039
32.79,2893
32.87,3087
31.67,2757
33.96,4340
35.29,8203
35.35,8633
34.04,4766
31.35,2657
34.61,4931
32.03,1920
35.97,8743
32.36,2235
30.96,1155
35.34,6433
33.63,4226
34.06,5163
32.6,2669
31.73,2254
33.37,3076
31.55,1653
32.06,2671
30.19,764
35.08,8805
31.19,2589
29.89,799
32.13,2471
36.54,15422
31.82,2729
31.86,2635
31.78,2613
34.39,5527
32.14,2922
34.95,6164
32.9,2672
34.46,6064
31.5,2262
33.15,2536
32.7,2803
31.24,1519
31.49,1868
32.85,2783
30.83,1841
34.02,4938
33.24,2886
33.95,4301
31.14,1621
31.53,1814
32.45,2811
30.81,1948
34.77,5758
34.51,5356
32.72,2744
32.43,2859
29.99,892
29.52,673
32.36,2350
31.61,2415
35.08,7752
32.63,2620
31.94,2565
31.86,2767
31.67,2076
36.22,10506
32.89,2283
33.36,4213
31.21,3039
32.37,3101
26.75,124
32.49,2817
32.04,1756
24.82,99
32.92,2689
32.1,2666
35.14,6940
32.77,2974
33.02,1735
33.31,2690
32.57,2976
32.84,2879
27.08,911
32.75,2342
31.8,1733
30.8,1294
31.35,1376
29.92,1049
33.12,1793
36.05,9735
32.14,1659
32.24,1633
29.34,1626
35.3,7284
31.01,1596
36.34,12951
32.68,2749
31.41,1560
33.58,2635
31.83,1659
32.74,4146
32.92,3747
29.65,579
31.76,1662
26.74,74
31.57,1518
31.93,1900
31.65,1442
30.75,2381
32.87,3101
33.43,4986
32.41,1553
33.58,2974
32,1938
32.44,2149
32.01,1451
35.06,7612
31.74,2207
32.82,2193
31.6,1818
32.38,2971
34.77,5996
35.48,10132
35.12,7258
29.22,506
35.35,8838
35.14,5942
35.96,10254
35.42,7746
33.47,3260
36.05,13297
34.26,4894
31.37,1389
31.3,1374
31.31,1907
34.38,2981
34.79,6483
30,790
30.04,736
35.16,6891
33.85,8122
34.13,6933
34.87,5919
33.37,7644
34.23,6988
33.47,8260
34.16,7883
32.11,1894
33.85,4703
33.31,3398
33.47,3728
29.83,640
19.71,74
32.1,3316
32.21,4308
31.68,2734
35.18,6210
36.06,11844
35.03,7794
35.98,6002
34.68,6394
31.87,1615
35.92,10010
34.96,4406
35.05,5430
34.53,6538
35.21,7286
34.23,3251
36.05,9577
36.49,8580
34.56,4137
35.14,5588
33.66,4618
34.78,4418
32.97,2163
36.62,10735
34.9,6430
35.48,9192
34,5485
34.83,5106
32.67,3978
33.74,2805
31.17,1753
34.33,5285
34.34,5758
27.66,158
32.27,5599
33.08,4560
32.94,4473
33.11,5524
30.64,6056
33.77,3395
34.9,5100
32.51,2979
26.15,208
33.45,4341
37.49,19080
28.7,340
34.2,5014
34.49,3673
32.55,3316
34.3,5290
27.79,98
27.56,81
29.82,429
28.3,248
28.18,352
28.84,449
28.49,259
28.63,359
34.03,4441
34.37,4602
29.68,6048
32.49,2652
33.86,4566
34.09,4843
37.62,23832
36.06,11410
35.96,9105
34.96,7952
